filippo.io/edwards25519,https://github.com/FiloSottile/edwards25519/blob/v1.1.0/LICENSE,BSD-3-Clause
github.com/akutz/memconn,https://github.com/akutz/memconn/blob/v0.1.0/LICENSE,Apache-2.0
github.com/alexbrainman/sspi,https://github.com/alexbrainman/sspi/blob/1a75b4708caa/LICENSE,BSD-3-Clause
github.com/anmitsu/go-shlex,https://github.com/anmitsu/go-shlex/blob/38f4b401e2be/LICENSE,MIT
github.com/aws/aws-sdk-go-v2,https://github.com/aws/aws-sdk-go-v2/blob/v1.36.0/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/config,https://github.com/aws/aws-sdk-go-v2/blob/config/v1.29.5/config/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/credentials,https://github.com/aws/aws-sdk-go-v2/blob/credentials/v1.17.58/credentials/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/feature/ec2/imds,https://github.com/aws/aws-sdk-go-v2/blob/feature/ec2/imds/v1.16.27/feature/ec2/imds/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/configsources,https://github.com/aws/aws-sdk-go-v2/blob/internal/configsources/v1.3.31/internal/configsources/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,https://github.com/aws/aws-sdk-go-v2/blob/internal/endpoints/v2.6.31/internal/endpoints/v2/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/ini,https://github.com/aws/aws-sdk-go-v2/blob/internal/ini/v1.8.2/internal/ini/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/internal/sync/singleflight,https://github.com/aws/aws-sdk-go-v2/blob/v1.36.0/internal/sync/singleflight/LICENSE,BSD-3-Clause
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding,https://github.com/aws/aws-sdk-go-v2/blob/service/internal/accept-encoding/v1.12.2/service/internal/accept-encoding/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url,https://github.com/aws/aws-sdk-go-v2/blob/service/internal/presigned-url/v1.12.12/service/internal/presigned-url/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/ssm,https://github.com/aws/aws-sdk-go-v2/blob/service/ssm/v1.44.7/service/ssm/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/sso,https://github.com/aws/aws-sdk-go-v2/blob/service/sso/v1.24.14/service/sso/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/ssooidc,https://github.com/aws/aws-sdk-go-v2/blob/service/ssooidc/v1.28.13/service/ssooidc/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/sts,https://github.com/aws/aws-sdk-go-v2/blob/service/sts/v1.33.13/service/sts/LICENSE.txt,Apache-2.0
github.com/aws/smithy-go,https://github.com/aws/smithy-go/blob/v1.22.2/LICENSE,Apache-2.0
github.com/aws/smithy-go/internal/sync/singleflight,https://github.com/aws/smithy-go/blob/v1.22.2/internal/sync/singleflight/LICENSE,BSD-3-Clause
github.com/coder/websocket,https://github.com/coder/websocket/blob/v1.8.12/LICENSE.txt,ISC
github.com/coreos/go-iptables/iptables,https://github.com/coreos/go-iptables/blob/65c67c9f46e6/LICENSE,Apache-2.0
github.com/creack/pty,https://github.com/creack/pty/blob/v1.1.23/LICENSE,MIT
github.com/dblohm7/wingoes,https://github.com/dblohm7/wingoes/blob/a09d6be7affa/LICENSE,BSD-3-Clause
github.com/digitalocean/go-smbios/smbios,https://github.com/digitalocean/go-smbios/blob/390a4f403a8e/LICENSE.md,Apache-2.0
github.com/djherbis/times,https://github.com/djherbis/times/blob/v1.6.0/LICENSE,MIT
github.com/fxamacker/cbor/v2,https://github.com/fxamacker/cbor/blob/v2.7.0/LICENSE,MIT
github.com/gaissmai/bart,https://github.com/gaissmai/bart/blob/v0.18.0/LICENSE,MIT
github.com/go-json-experiment/json,https://github.com/go-json-experiment/json/blob/d3c622f1b874/LICENSE,BSD-3-Clause
github.com/go-ole/go-ole,https://github.com/go-ole/go-ole/blob/v1.3.0/LICENSE,MIT
github.com/godbus/dbus/v5,https://github.com/godbus/dbus/blob/76236955d466/LICENSE,BSD-2-Clause
github.com/golang/groupcache/lru,https://github.com/golang/groupcache/blob/41bb18bfe9da/LICENSE,Apache-2.0
github.com/google/btree,https://github.com/google/btree/blob/v1.1.2/LICENSE,Apache-2.0
github.com/google/nftables,https://github.com/google/nftables/blob/5e242ec57806/LICENSE,Apache-2.0
github.com/google/uuid,https://github.com/google/uuid/blob/v1.6.0/LICENSE,BSD-3-Clause
github.com/gorilla/csrf,https://github.com/gorilla/csrf/blob/9dd6af1f6d30/LICENSE,BSD-3-Clause
github.com/gorilla/securecookie,https://github.com/gorilla/securecookie/blob/v1.1.2/LICENSE,BSD-3-Clause
github.com/hdevalence/ed25519consensus,https://github.com/hdevalence/ed25519consensus/blob/v0.2.0/LICENSE,BSD-3-Clause
github.com/illarion/gonotify/v3,https://github.com/illarion/gonotify/blob/v3.0.2/LICENSE,MIT
github.com/insomniacslk/dhcp,https://github.com/insomniacslk/dhcp/blob/8c70d406f6d2/LICENSE,BSD-3-Clause
github.com/jellydator/ttlcache/v3,https://github.com/jellydator/ttlcache/blob/v3.1.0/LICENSE,MIT
github.com/jmespath/go-jmespath,https://github.com/jmespath/go-jmespath/blob/v0.4.0/LICENSE,Apache-2.0
github.com/kballard/go-shellquote,https://github.com/kballard/go-shellquote/blob/95032a82bc51/LICENSE,MIT
github.com/klauspost/compress,https://github.com/klauspost/compress/blob/v1.17.11/LICENSE,Apache-2.0
github.com/klauspost/compress/internal/snapref,https://github.com/klauspost/compress/blob/v1.17.11/internal/snapref/LICENSE,BSD-3-Clause
github.com/klauspost/compress/zstd/internal/xxhash,https://github.com/klauspost/compress/blob/v1.17.11/zstd/internal/xxhash/LICENSE.txt,MIT
github.com/kortschak/wol,https://github.com/kortschak/wol/blob/da482cc4850a/LICENSE,BSD-3-Clause
github.com/kr/fs,https://github.com/kr/fs/blob/v0.1.0/LICENSE,BSD-3-Clause
github.com/mattn/go-colorable,https://github.com/mattn/go-colorable/blob/v0.1.13/LICENSE,MIT
github.com/mattn/go-isatty,https://github.com/mattn/go-isatty/blob/v0.0.20/LICENSE,MIT
github.com/mdlayher/genetlink,https://github.com/mdlayher/genetlink/blob/v1.3.2/LICENSE.md,MIT
github.com/mdlayher/netlink,https://github.com/mdlayher/netlink/blob/fbb4dce95f42/LICENSE.md,MIT
github.com/mdlayher/sdnotify,https://github.com/mdlayher/sdnotify/blob/v1.0.0/LICENSE.md,MIT
github.com/mdlayher/socket,https://github.com/mdlayher/socket/blob/v0.5.0/LICENSE.md,MIT
github.com/miekg/dns,https://github.com/miekg/dns/blob/v1.1.58/LICENSE,BSD-3-Clause
github.com/mitchellh/go-ps,https://github.com/mitchellh/go-ps/blob/v1.0.0/LICENSE.md,MIT
github.com/peterbourgon/ff/v3,https://github.com/peterbourgon/ff/blob/v3.4.0/LICENSE,Apache-2.0
github.com/pierrec/lz4/v4,https://github.com/pierrec/lz4/blob/v4.1.21/LICENSE,BSD-3-Clause
github.com/pkg/sftp,https://github.com/pkg/sftp/blob/v1.13.6/LICENSE,BSD-2-Clause
github.com/prometheus-community/pro-bing,https://github.com/prometheus-community/pro-bing/blob/v0.4.0/LICENSE,MIT
github.com/safchain/ethtool,https://github.com/safchain/ethtool/blob/v0.3.0/LICENSE,Apache-2.0
github.com/skip2/go-qrcode,https://github.com/skip2/go-qrcode/blob/da1b6568686e/LICENSE,MIT
github.com/tailscale/certstore,https://github.com/tailscale/certstore/blob/d3fa0460f47e/LICENSE.md,MIT
github.com/tailscale/go-winio,https://github.com/tailscale/go-winio/blob/c4f33415bf55/LICENSE,MIT
github.com/tailscale/netlink,https://github.com/tailscale/netlink/blob/4d49adab4de7/LICENSE,Apache-2.0
github.com/tailscale/peercred,https://github.com/tailscale/peercred/blob/35a0c7bd7edc/LICENSE,BSD-3-Clause
github.com/tailscale/web-client-prebuilt,https://github.com/tailscale/web-client-prebuilt/blob/d4cd19a26976/LICENSE,BSD-3-Clause
github.com/tailscale/wf,https://github.com/tailscale/wf/blob/6fbb0a674ee6/LICENSE,BSD-3-Clause
github.com/tailscale/wireguard-go,https://github.com/tailscale/wireguard-go/blob/0b8b35511f19/LICENSE,MIT
github.com/tailscale/xnet/webdav,https://github.com/tailscale/xnet/blob/8497ac4dab2e/LICENSE,BSD-3-Clause
github.com/toqueteos/webbrowser,https://github.com/toqueteos/webbrowser/blob/v1.2.0/LICENSE.md,MIT
github.com/u-root/u-root/pkg/termios,https://github.com/u-root/u-root/blob/v0.12.0/LICENSE,BSD-3-Clause
github.com/u-root/uio,https://github.com/u-root/uio/blob/d2acac8f3701/LICENSE,BSD-3-Clause
github.com/vishvananda/netns,https://github.com/vishvananda/netns/blob/v0.0.4/LICENSE,Apache-2.0
github.com/x448/float16,https://github.com/x448/float16/blob/v0.8.4/LICENSE,MIT
go4.org/mem,https://github.com/go4org/mem/blob/ae6ca9944745/LICENSE,Apache-2.0
go4.org/netipx,https://github.com/go4org/netipx/blob/fdeea329fbba/LICENSE,BSD-3-Clause
golang.org/x/crypto,https://cs.opensource.google/go/x/crypto/+/v0.35.0:LICENSE,BSD-3-Clause
golang.org/x/exp,https://cs.opensource.google/go/x/exp/+/939b2ce7:LICENSE,BSD-3-Clause
golang.org/x/net,https://cs.opensource.google/go/x/net/+/v0.35.0:LICENSE,BSD-3-Clause
golang.org/x/oauth2,https://cs.opensource.google/go/x/oauth2/+/v0.26.0:LICENSE,BSD-3-Clause
golang.org/x/sync,https://cs.opensource.google/go/x/sync/+/v0.11.0:LICENSE,BSD-3-Clause
golang.org/x/sys,https://cs.opensource.google/go/x/sys/+/v0.30.0:LICENSE,BSD-3-Clause
golang.org/x/term,https://cs.opensource.google/go/x/term/+/v0.29.0:LICENSE,BSD-3-Clause
golang.org/x/text,https://cs.opensource.google/go/x/text/+/v0.22.0:LICENSE,BSD-3-Clause
golang.org/x/time/rate,https://cs.opensource.google/go/x/time/+/v0.10.0:LICENSE,BSD-3-Clause
golang.zx2c4.com/wintun,https://git.zx2c4.com/wintun-go/tree/LICENSE?id=0fa3db229ce2,MIT
golang.zx2c4.com/wireguard/windows/tunnel/winipcfg,https://git.zx2c4.com/wireguard-windows/tree/COPYING?h=v0.5.3,MIT
gvisor.dev/gvisor/pkg,https://github.com/google/gvisor/blob/9414b50a5633/LICENSE,Apache-2.0
k8s.io/client-go/util/homedir,https://github.com/kubernetes/client-go/blob/v0.32.0/LICENSE,Apache-2.0
sigs.k8s.io/yaml,https://github.com/kubernetes-sigs/yaml/blob/v1.4.0/LICENSE,Apache-2.0
sigs.k8s.io/yaml/goyaml.v2,https://github.com/kubernetes-sigs/yaml/blob/v1.4.0/goyaml.v2/LICENSE,Apache-2.0
software.sslmate.com/src/go-pkcs12,https://github.com/SSLMate/go-pkcs12/blob/v0.4.0/LICENSE,BSD-3-Clause
tailscale.com,https://github.com/tailscale/tailscale/blob/HEAD/LICENSE,BSD-3-Clause
tailscale.com/tempfork/gliderlabs/ssh,https://github.com/tailscale/tailscale/blob/HEAD/tempfork/gliderlabs/ssh/LICENSE,BSD-3-Clause
tailscale.com/tempfork/spf13/cobra,https://github.com/tailscale/tailscale/blob/HEAD/tempfork/spf13/cobra/LICENSE.txt,Apache-2.0
